Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31
0.77627915,1.4811609,-0.05216069,-0.10267393,0.7607695,0.5826509,-1.0003308,-0.20086099,0.7296026,2.4860919,0.02624344,3.1932037,-0.5490271,-1.6317357,-0.2954902,0.28197318,0.9495232,-1.1450653,-0.33991843,-0.9754687,-0.3940106,-1.0794097,-0.58193004,0.6392614,0.5375526,-0.74810606,0.30400908,-0.335854,-0.20397843,-0.30313802,-0.9140043,-1.5830982
0.1759468,1.8608587,-0.37749845,0.5950215,1.6085999,0.15439352,-0.765346,-0.22582844,-0.49001977,0.73063546,1.336367,3.3375928,-0.107388064,-1.3097343,-0.8820238,0.66436034,0.8871346,-1.0618949,-0.6795245,-1.2578574,-1.1980708,-0.3950639,-0.13157326,0.61022294,0.021022735,-0.51846856,1.0293459,-0.34868482,-0.19948481,-0.1339534,-1.2643373,-1.4244325
1.0030795,0.35911945,-0.04766299,2.3212633,0.003086402,1.9491478,-0.85654986,-0.6119719,-0.12638599,0.57781947,0.6725172,1.4022294,-0.9791992,-0.7603176,-0.88410044,0.10722533,2.117023,-1.288334,1.8701369,-1.2200469,-1.1756442,-0.4053708,-0.7164664,0.44368985,0.31116956,-0.24037571,-1.3443722,-0.34152898,0.107026294,-0.5599432,-0.14949572,-1.2449317
0.9913811,0.74108195,1.0310347,-0.68208635,-1.359594,-0.035955098,-1.7948037,-0.31377265,0.7510671,0.945408,-0.97015035,0.30040357,0.9689374,-0.65190107,0.46037275,-0.31319964,0.23481555,0.8566461,2.435347,0.032967824,-1.4794579,-1.8014992,-0.5723382,1.0304157,0.4299664,-1.152033,-0.04496654,1.2760984,-0.7280658,0.19134764,1.1244794,-1.2313399
0.1124351,0.09010722,1.7317123,0.1850934,1.0273905,0.1112187,1.837388,1.3060443,0.87122625,-0.61807907,0.0019663926,2.1266246,-0.6089176,-1.1446456,-1.5260549,-0.20904553,0.33202562,-1.1300664,-1.3560414,0.51814175,0.1498625,-1.4705915,-1.184853,-1.2711189,-0.2572765,-0.47977054,-0.434027,1.5936518,0.12902178,-0.0009372011,-1.4067695,0.1559024
1.2941208,0.55742943,0.11476917,1.450488,0.8059991,0.3313855,-1.4290526,-0.35786897,0.36465728,1.7956804,0.05379164,2.3289454,-0.82787246,-1.0566351,-0.77938694,0.50569904,2.0942507,-1.2973871,0.30804646,-0.65625876,-1.1828623,-0.4391591,-0.91387343,1.2675552,0.38561836,-0.7595812,0.14745116,-0.5707385,0.24143966,-0.7695658,-1.1744528,-1.6454475
2.289789,-0.25638318,0.694263,-0.08477511,-0.0127776535,-0.0603764,-0.6141838,0.024129596,2.1484487,1.2831177,-0.7886517,0.8023146,-0.038638294,-1.6603417,0.5856164,-0.50905186,2.0155048,0.72264904,1.0149418,-0.20190533,0.27273658,-1.4695377,-0.6479613,-0.85506153,0.42616966,-0.88942754,-0.72226566,0.21925732,-0.32460263,-0.6512349,-0.40825272,-2.0007658
0.8489217,0.9205441,0.3044065,1.71732,0.18677773,-0.5633444,-1.1457796,0.5687756,0.38786545,-0.20843917,0.37953755,2.297224,-1.7938937,0.95522696,1.210183,-0.4807957,1.4618397,-1.274597,-1.0718249,0.044076443,-0.31148452,-1.8309377,-0.16675529,-0.35385314,0.96933085,-0.51949805,0.6287743,0.351663,-0.08624277,-0.5187466,-2.5876744,-0.6484454
2.2941937,0.9678282,0.11402319,0.7139855,0.20985216,0.07738666,-1.2522709,0.77424157,-0.17803535,0.27214205,-0.76281977,1.9953951,-2.4717193,0.7538426,1.86061,-0.38010842,0.93107194,-1.3927377,-0.3575926,-0.24216272,-0.069541775,-2.0168128,0.15103811,-0.47156993,-0.18564428,-0.16826874,0.9459448,0.12012354,-0.16842599,-0.6340112,-1.615345,-0.28318053
0.38570085,1.4495776,-0.18684159,0.29719332,1.1922067,0.21979198,-0.9369055,-0.45019376,-0.45017728,0.58134186,-0.052613642,3.7848184,-0.65758026,-1.5570629,-0.49658042,1.2320818,0.7383939,-1.2283088,-0.40824088,-1.031238,-0.99418235,-0.9305181,-0.22512399,0.4557301,0.40993503,-0.42387554,1.3054523,-0.53462315,0.51186407,0.25852746,-0.9661495,-1.1972268
